SerialNumber, acc: x_acc, y_acc, z_acc, gyro: x_value, y_value, z_value
180, 3745, 0.11, -0.04, 1.26
181, 3765, 0.09, -0.04, 1.29
182, 3786, 0.07, -0.02, 1.30
183, 3806, 0.31, 0.07, 1.43
184, 3826, 0.38, -0.04, 1.49
185, 3847, 0.31, 0.02, 1.37
186, 3867, 0.25, 0.18, 1.25
187, 3888, 0.22, 0.34, 0.89
188, 3908, 0.17, 0.59, 0.68
189, 3931, 0.12, 0.67, 0.53
190, 3951, 0.01, 0.75, 0.81
191, 3971, 0.36, 0.99, 1.15
192, 3992, 0.95, 0.95, 1.53
193, 4012, 0.03, 0.11, 1.38
194, 4032, -0.73, -0.10, 1.02
195, 4053, -1.43, -0.13, 0.11
196, 4073, -1.18, -0.72, -0.08
197, 4094, -0.67, -0.61, 0.39
198, 4114, -0.51, -0.63, 0.66
199, 4134, -0.71, -0.82, 0.67
200, 4155, -1.02, -0.83, 0.42
201, 4175, -1.05, -0.83, 0.38
202, 4196, -0.69, -1.03, 0.63
203, 4216, -0.17, -1.31, 1.12
204, 4237, 0.47, -0.95, 1.08
205, 4257, 0.41, -0.09, 0.63
206, 4288, -0.29, 0.99, 0.53
207, 4311, -0.34, 0.92, 0.98
208, 4334, -0.11, -0.11, 1.22
209, 4358, -0.37, -0.46, 0.63
210, 4381, -0.33, -0.52, 1.18
211, 4404, -0.34, -0.18, 0.58
212, 4428, 0.37, 0.28, 0.44
213, 4451, 0.70, 0.99, 0.58
214, 4474, 0.47, -0.16, 0.95
215, 4497, -0.65, -0.43, 0.21
216, 4521, -1.53, -0.32, 0.79
217, 4544, -1.09, 0.45, 1.23
218, 4567, 0.02, 0.24, 0.84
219, 4591, -0.01, -0.18, 0.81
220, 4614, -0.63, -0.19, 0.88
221, 4637, -0.46, 0.05, 1.01
222, 4660, 0.03, 0.12, 1.06
223, 4682, 0.23, 0.07, 1.03
224, 4706, 0.14, -0.10, 1.08
225, 4729, -0.04, -0.11, 1.01
226, 4752, -0.03, 0.04, 1.08
227, 4776, 0.13, 0.02, 1.13
228, 4799, 0.16, -0.12, 1.04
229, 4822, -0.02, -0.06, 1.05
230, 4846, -0.10, 0.09, 1.28
231, 4869, 0.20, 0.02, 1.52
232, 4892, 0.47, -0.01, 1.49
233, 4916, 0.37, 0.17, 1.31
234, 4939, 0.27, 0.17, 1.03
235, 4962, 0.09, 0.33, 0.89
236, 4985, 0.03, 0.65, 0.67
237, 5009, 0.09, 0.81, 0.68
238, 5032, 0.34, 0.99, 1.16
239, 5055, 0.88, 0.92, 1.43
